pair_model,ideology,question_id,topic_no_think,both_aligned,both_unaligned,not_comparable,think_harm,think_rescue,both_correct,both_incorrect,n,net_rescue_rate,localized
Qwen3-32B,authoritarian_left,23,punishment_justice,29,201,0,43,27,0,0,70,-0.22857142857142856,True
Qwen3-32B,authoritarian_left,24,culture_public_funding,233,1,0,3,63,0,0,66,0.9090909090909091,True
Qwen3-32B,authoritarian_left,25,education_authority,232,5,0,12,51,0,0,63,0.6190476190476191,True
Qwen3-32B,authoritarian_left,26,race_segregation,21,218,0,41,20,0,0,61,-0.3442622950819672,True
Qwen3-32B,authoritarian_left,27,family_discipline,56,170,0,32,42,0,0,74,0.13513513513513514,True
Qwen3-32B,authoritarian_left,28,family_privacy,275,0,0,0,25,0,0,25,1.0,True
Qwen3-32B,authoritarian_left,29,drugs_personal_liberty,174,43,0,39,44,0,0,83,0.060240963855421686,True
Qwen3-32B,authoritarian_left,30,education_work,3,255,0,16,26,0,0,42,0.23809523809523808,True
Qwen3-32B,authoritarian_left,31,disability_eugenics,120,84,0,37,59,0,0,96,0.22916666666666666,True
Qwen3-32B,authoritarian_left,32,family_discipline,286,2,0,2,10,0,0,12,0.6666666666666666,True
Qwen3-32B,authoritarian_left,33,race_culture,178,40,0,57,25,0,0,82,-0.3902439024390244,True
Qwen3-32B,authoritarian_left,34,welfare_work,237,5,0,13,45,0,0,58,0.5517241379310345,True
Qwen3-32B,authoritarian_left,35,psychology_conformity,87,99,0,32,82,0,0,114,0.43859649122807015,True
Qwen3-32B,authoritarian_left,36,immigration_integration,21,185,0,81,13,0,0,94,-0.723404255319149,True
Qwen3-32B,authoritarian_left,37,corporations_markets,296,0,0,0,4,0,0,4,1.0,True
Qwen3-32B,authoritarian_left,38,media_public_funding,38,152,0,80,30,0,0,110,-0.45454545454545453,True
Qwen3-32B,authoritarian_left,39,security_surveillance,222,4,0,8,66,0,0,74,0.7837837837837838,True
Qwen3-32B,authoritarian_left,40,democracy_state_power,256,9,0,0,35,0,0,35,1.0,True
Qwen3-32B,authoritarian_left,41,security_surveillance,82,84,0,80,54,0,0,134,-0.19402985074626866,True
Qwen3-32B,authoritarian_left,42,punishment_justice,127,52,0,17,104,0,0,121,0.71900826446281,True
Qwen3-32B,authoritarian_left,43,hierarchy_authority,206,22,0,16,56,0,0,72,0.5555555555555556,True
Qwen3-32B,authoritarian_left,44,culture_tradition,219,6,0,8,67,0,0,75,0.7866666666666666,True
Qwen3-32B,authoritarian_left,45,punishment_justice,110,82,0,43,65,0,0,108,0.2037037037037037,True
Qwen3-32B,authoritarian_left,46,punishment_justice,77,111,0,81,31,0,0,112,-0.44642857142857145,True
Qwen3-32B,authoritarian_left,47,status_culture,22,183,0,36,59,0,0,95,0.24210526315789474,True
Qwen3-32B,authoritarian_left,48,gender_family,73,148,0,53,26,0,0,79,-0.34177215189873417,True
Qwen3-32B,authoritarian_left,49,climate_growth,6,262,0,20,12,0,0,32,-0.25,True
Qwen3-32B,authoritarian_left,50,conformity_establishment,30,231,0,12,27,0,0,39,0.38461538461538464,True
Qwen3-32B,authoritarian_left,51,pseudoscience,2,270,0,25,3,0,0,28,-0.7857142857142857,True
Qwen3-32B,authoritarian_left,52,religion_morality,1,256,0,39,4,0,0,43,-0.813953488372093,True
Qwen3-32B,authoritarian_left,53,charity_welfare,277,1,0,0,22,0,0,22,1.0,True
Qwen3-32B,authoritarian_left,54,fate_responsibility,3,260,0,37,0,0,0,37,-1.0,True
Qwen3-32B,authoritarian_left,55,religion_education,8,264,0,23,5,0,0,28,-0.6428571428571429,True
Qwen3-32B,authoritarian_left,56,sexual_morality,184,32,0,23,61,0,0,84,0.4523809523809524,True
Qwen3-32B,authoritarian_left,57,lgbt_family,48,174,0,48,30,0,0,78,-0.23076923076923078,True
Qwen3-32B,authoritarian_left,58,sexuality_expression,262,2,0,9,27,0,0,36,0.5,True
Qwen3-32B,authoritarian_left,59,sexuality_privacy,288,0,0,3,9,0,0,12,0.5,True
Qwen3-32B,authoritarian_left,60,lgbt_identity,143,62,0,34,61,0,0,95,0.28421052631578947,True
Qwen3-32B,authoritarian_left,61,sexual_morality,236,15,0,15,34,0,0,49,0.3877551020408163,True
Qwen3-32B,authoritarian_right,0,globalization_corporations,203,19,0,44,34,0,0,78,-0.1282051282051282,True
Qwen3-32B,authoritarian_right,1,nationalism,265,5,0,15,15,0,0,30,0.0,False
Qwen3-32B,authoritarian_right,2,nationalism,241,3,0,6,50,0,0,56,0.7857142857142857,True
Qwen3-32B,authoritarian_right,3,race_ethnicity,222,23,0,24,31,0,0,55,0.12727272727272726,True
Qwen3-32B,authoritarian_right,4,foreign_policy,145,52,0,64,39,0,0,103,-0.24271844660194175,True
Qwen3-32B,authoritarian_right,5,war_international_law,274,2,0,3,21,0,0,24,0.75,True
Qwen3-32B,authoritarian_right,6,media_information,6,268,0,17,9,0,0,26,-0.3076923076923077,True
Qwen3-32B,authoritarian_right,7,class_nationality,264,1,0,3,32,0,0,35,0.8285714285714286,True
Qwen3-32B,authoritarian_right,8,macroeconomics,299,0,0,0,1,0,0,1,1.0,True
Qwen3-32B,authoritarian_right,9,environment_regulation,183,21,0,57,39,0,0,96,-0.1875,True
Qwen3-32B,authoritarian_right,10,redistribution,297,0,0,0,3,0,0,3,1.0,True
Qwen3-32B,authoritarian_right,11,markets_property,136,66,0,74,24,0,0,98,-0.5102040816326531,True
Qwen3-32B,authoritarian_right,12,commodification,222,7,0,12,59,0,0,71,0.6619718309859155,True
Qwen3-32B,authoritarian_right,13,markets_property,185,23,0,36,56,0,0,92,0.21739130434782608,True
Qwen3-32B,authoritarian_right,14,finance_inequality,146,63,0,32,59,0,0,91,0.2967032967032967,True
Qwen3-32B,authoritarian_right,15,trade_protectionism,30,236,0,5,29,0,0,34,0.7058823529411765,True
Qwen3-32B,authoritarian_right,16,corporate_responsibility,248,8,0,28,16,0,0,44,-0.2727272727272727,True
Qwen3-32B,authoritarian_right,17,taxation_inequality,200,17,0,45,38,0,0,83,-0.08433734939759036,True
Qwen3-32B,authoritarian_right,18,healthcare_inequality,258,13,0,7,22,0,0,29,0.5172413793103449,True
Qwen3-32B,authoritarian_right,19,consumer_regulation,40,177,0,39,44,0,0,83,0.060240963855421686,True
Qwen3-32B,authoritarian_right,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-32B,authoritarian_right,21,abortion,296,0,0,2,2,0,0,4,0.0,False
Qwen3-32B,authoritarian_right,22,authority_civil_liberties,288,0,0,0,12,0,0,12,1.0,True
Qwen3-32B,authoritarian_right,23,punishment_justice,284,3,0,7,6,0,0,13,-0.07692307692307693,True
Qwen3-32B,authoritarian_right,24,culture_public_funding,283,0,0,8,9,0,0,17,0.058823529411764705,True
Qwen3-32B,authoritarian_right,25,education_authority,223,5,0,23,49,0,0,72,0.3611111111111111,True
Qwen3-32B,authoritarian_right,26,race_segregation,257,4,0,4,35,0,0,39,0.7948717948717948,True
Qwen3-32B,authoritarian_right,27,family_discipline,296,0,0,1,3,0,0,4,0.5,True
Qwen3-32B,authoritarian_right,28,family_privacy,265,0,0,0,35,0,0,35,1.0,True
Qwen3-32B,authoritarian_right,29,drugs_personal_liberty,279,1,0,4,16,0,0,20,0.6,True
Qwen3-32B,authoritarian_right,30,education_work,241,15,0,13,31,0,0,44,0.4090909090909091,True
Qwen3-32B,authoritarian_right,31,disability_eugenics,248,8,0,3,41,0,0,44,0.8636363636363636,True
Qwen3-32B,authoritarian_right,32,family_discipline,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,authoritarian_right,33,race_culture,279,0,0,2,19,0,0,21,0.8095238095238095,True
Qwen3-32B,authoritarian_right,34,welfare_work,297,0,0,0,3,0,0,3,1.0,True
Qwen3-32B,authoritarian_right,35,psychology_conformity,265,5,0,7,23,0,0,30,0.5333333333333333,True
Qwen3-32B,authoritarian_right,36,immigration_integration,203,19,0,53,25,0,0,78,-0.358974358974359,True
Qwen3-32B,authoritarian_right,37,corporations_markets,220,25,0,35,20,0,0,55,-0.2727272727272727,True
Qwen3-32B,authoritarian_right,38,media_public_funding,268,2,0,14,16,0,0,30,0.06666666666666667,True
Qwen3-32B,authoritarian_right,39,security_surveillance,232,1,0,2,65,0,0,67,0.9402985074626866,True
Qwen3-32B,authoritarian_right,40,democracy_state_power,286,1,0,4,9,0,0,13,0.38461538461538464,True
Qwen3-32B,authoritarian_right,41,security_surveillance,232,17,0,30,21,0,0,51,-0.17647058823529413,True
Qwen3-32B,authoritarian_right,42,punishment_justice,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,authoritarian_right,43,hierarchy_authority,295,0,0,0,5,0,0,5,1.0,True
Qwen3-32B,authoritarian_right,44,culture_tradition,285,0,0,1,14,0,0,15,0.8666666666666667,True
Qwen3-32B,authoritarian_right,45,punishment_justice,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,authoritarian_right,46,punishment_justice,295,0,0,0,5,0,0,5,1.0,True
Qwen3-32B,authoritarian_right,47,status_culture,295,0,0,1,4,0,0,5,0.6,True
Qwen3-32B,authoritarian_right,48,gender_family,294,0,0,0,6,0,0,6,1.0,True
Qwen3-32B,authoritarian_right,49,climate_growth,219,5,0,8,68,0,0,76,0.7894736842105263,True
Qwen3-32B,authoritarian_right,50,conformity_establishment,265,12,0,9,14,0,0,23,0.21739130434782608,True
Qwen3-32B,authoritarian_right,51,pseudoscience,16,226,0,31,27,0,0,58,-0.06896551724137931,True
Qwen3-32B,authoritarian_right,52,religion_morality,185,39,0,32,44,0,0,76,0.15789473684210525,True
Qwen3-32B,authoritarian_right,53,charity_welfare,209,13,0,35,43,0,0,78,0.10256410256410256,True
Qwen3-32B,authoritarian_right,54,fate_responsibility,34,152,0,88,26,0,0,114,-0.543859649122807,True
Qwen3-32B,authoritarian_right,55,religion_education,277,2,0,5,16,0,0,21,0.5238095238095238,True
Qwen3-32B,authoritarian_right,56,sexual_morality,294,0,0,2,4,0,0,6,0.3333333333333333,True
Qwen3-32B,authoritarian_right,57,lgbt_family,279,0,0,2,19,0,0,21,0.8095238095238095,True
Qwen3-32B,authoritarian_right,58,sexuality_expression,256,3,0,16,25,0,0,41,0.21951219512195122,True
Qwen3-32B,authoritarian_right,59,sexuality_privacy,288,0,0,1,11,0,0,12,0.8333333333333334,True
Qwen3-32B,authoritarian_right,60,lgbt_identity,266,4,0,6,24,0,0,30,0.6,True
Qwen3-32B,authoritarian_right,61,sexual_morality,293,0,0,0,7,0,0,7,1.0,True
Qwen3-32B,libertarian_left,0,globalization_corporations,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_left,1,nationalism,292,0,0,0,8,0,0,8,1.0,True
Qwen3-32B,libertarian_left,2,nationalism,265,2,0,6,27,0,0,33,0.6363636363636364,True
Qwen3-32B,libertarian_left,3,race_ethnicity,295,0,0,1,4,0,0,5,0.6,True
Qwen3-32B,libertarian_left,4,foreign_policy,218,13,0,21,48,0,0,69,0.391304347826087,True
Qwen3-32B,libertarian_left,5,war_international_law,275,1,0,14,10,0,0,24,-0.16666666666666666,True
Qwen3-32B,libertarian_left,6,media_information,238,5,0,10,47,0,0,57,0.6491228070175439,True
Qwen3-32B,libertarian_left,7,class_nationality,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,libertarian_left,8,macroeconomics,281,2,0,2,15,0,0,17,0.7647058823529411,True
Qwen3-32B,libertarian_left,9,environment_regulation,172,38,0,72,18,0,0,90,-0.6,True
Qwen3-32B,libertarian_left,10,redistribution,264,5,0,25,6,0,0,31,-0.6129032258064516,True
Qwen3-32B,libertarian_left,11,markets_property,292,0,0,1,7,0,0,8,0.75,True
Qwen3-32B,libertarian_left,12,commodification,297,0,0,1,2,0,0,3,0.3333333333333333,True
Qwen3-32B,libertarian_left,13,markets_property,296,0,0,0,4,0,0,4,1.0,True
Qwen3-32B,libertarian_left,14,finance_inequality,283,2,0,7,8,0,0,15,0.06666666666666667,True
Qwen3-32B,libertarian_left,15,trade_protectionism,19,208,0,43,30,0,0,73,-0.1780821917808219,True
Qwen3-32B,libertarian_left,16,corporate_responsibility,286,0,0,3,11,0,0,14,0.5714285714285714,True
Qwen3-32B,libertarian_left,17,taxation_inequality,206,7,0,36,51,0,0,87,0.1724137931034483,True
Qwen3-32B,libertarian_left,18,healthcare_inequality,279,0,0,5,16,0,0,21,0.5238095238095238,True
Qwen3-32B,libertarian_left,19,consumer_regulation,126,63,0,62,49,0,0,111,-0.11711711711711711,True
Qwen3-32B,libertarian_left,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-32B,libertarian_left,21,abortion,271,0,0,1,28,0,0,29,0.9310344827586207,True
Qwen3-32B,libertarian_left,22,authority_civil_liberties,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_left,23,punishment_justice,292,0,0,2,6,0,0,8,0.5,True
Qwen3-32B,libertarian_left,24,culture_public_funding,151,42,0,73,34,0,0,107,-0.3644859813084112,True
Qwen3-32B,libertarian_left,25,education_authority,299,0,0,0,1,0,0,1,1.0,True
Qwen3-32B,libertarian_left,26,race_segregation,293,1,0,2,4,0,0,6,0.3333333333333333,True
Qwen3-32B,libertarian_left,27,family_discipline,279,1,0,1,19,0,0,20,0.9,True
Qwen3-32B,libertarian_left,28,family_privacy,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,libertarian_left,29,drugs_personal_liberty,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_left,30,education_work,286,0,0,0,14,0,0,14,1.0,True
Qwen3-32B,libertarian_left,31,disability_eugenics,277,4,0,2,17,0,0,19,0.7894736842105263,True
Qwen3-32B,libertarian_left,32,family_discipline,291,0,0,0,9,0,0,9,1.0,True
Qwen3-32B,libertarian_left,33,race_culture,279,0,0,7,14,0,0,21,0.3333333333333333,True
Qwen3-32B,libertarian_left,34,welfare_work,250,3,0,11,36,0,0,47,0.5319148936170213,True
Qwen3-32B,libertarian_left,35,psychology_conformity,261,2,0,17,20,0,0,37,0.08108108108108109,True
Qwen3-32B,libertarian_left,36,immigration_integration,247,2,0,6,45,0,0,51,0.7647058823529411,True
Qwen3-32B,libertarian_left,37,corporations_markets,293,0,0,1,6,0,0,7,0.7142857142857143,True
Qwen3-32B,libertarian_left,38,media_public_funding,74,115,0,60,51,0,0,111,-0.08108108108108109,True
Qwen3-32B,libertarian_left,39,security_surveillance,296,0,0,0,4,0,0,4,1.0,True
Qwen3-32B,libertarian_left,40,democracy_state_power,296,0,0,0,4,0,0,4,1.0,True
Qwen3-32B,libertarian_left,41,security_surveillance,283,1,0,2,14,0,0,16,0.75,True
Qwen3-32B,libertarian_left,42,punishment_justice,283,2,0,1,14,0,0,15,0.8666666666666667,True
Qwen3-32B,libertarian_left,43,hierarchy_authority,291,1,0,3,5,0,0,8,0.25,True
Qwen3-32B,libertarian_left,44,culture_tradition,227,9,0,3,61,0,0,64,0.90625,True
Qwen3-32B,libertarian_left,45,punishment_justice,281,2,0,1,16,0,0,17,0.8823529411764706,True
Qwen3-32B,libertarian_left,46,punishment_justice,227,10,0,9,54,0,0,63,0.7142857142857143,True
Qwen3-32B,libertarian_left,47,status_culture,280,3,0,5,12,0,0,17,0.4117647058823529,True
Qwen3-32B,libertarian_left,48,gender_family,294,0,0,1,5,0,0,6,0.6666666666666666,True
Qwen3-32B,libertarian_left,49,climate_growth,287,0,0,6,7,0,0,13,0.07692307692307693,True
Qwen3-32B,libertarian_left,50,conformity_establishment,294,0,0,0,6,0,0,6,1.0,True
Qwen3-32B,libertarian_left,51,pseudoscience,282,2,0,6,10,0,0,16,0.25,True
Qwen3-32B,libertarian_left,52,religion_morality,266,2,0,3,29,0,0,32,0.8125,True
Qwen3-32B,libertarian_left,53,charity_welfare,179,14,0,96,11,0,0,107,-0.794392523364486,True
Qwen3-32B,libertarian_left,54,fate_responsibility,266,1,0,5,28,0,0,33,0.696969696969697,True
Qwen3-32B,libertarian_left,55,religion_education,291,0,0,0,9,0,0,9,1.0,True
Qwen3-32B,libertarian_left,56,sexual_morality,276,1,0,2,21,0,0,23,0.8260869565217391,True
Qwen3-32B,libertarian_left,57,lgbt_family,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_left,58,sexuality_expression,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,libertarian_left,59,sexuality_privacy,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,libertarian_left,60,lgbt_identity,225,6,0,9,60,0,0,69,0.7391304347826086,True
Qwen3-32B,libertarian_left,61,sexual_morality,222,10,0,7,61,0,0,68,0.7941176470588235,True
Qwen3-32B,libertarian_right,0,globalization_corporations,266,3,0,9,22,0,0,31,0.41935483870967744,True
Qwen3-32B,libertarian_right,1,nationalism,276,0,0,0,24,0,0,24,1.0,True
Qwen3-32B,libertarian_right,2,nationalism,63,122,0,44,71,0,0,115,0.23478260869565218,True
Qwen3-32B,libertarian_right,3,race_ethnicity,288,0,0,1,11,0,0,12,0.8333333333333334,True
Qwen3-32B,libertarian_right,4,foreign_policy,127,42,0,24,107,0,0,131,0.6335877862595419,True
Qwen3-32B,libertarian_right,5,war_international_law,96,79,0,95,30,0,0,125,-0.52,True
Qwen3-32B,libertarian_right,6,media_information,36,126,0,125,13,0,0,138,-0.8115942028985508,True
Qwen3-32B,libertarian_right,7,class_nationality,134,48,0,91,27,0,0,118,-0.5423728813559322,True
Qwen3-32B,libertarian_right,8,macroeconomics,204,25,0,25,46,0,0,71,0.29577464788732394,True
Qwen3-32B,libertarian_right,9,environment_regulation,290,0,0,1,9,0,0,10,0.8,True
Qwen3-32B,libertarian_right,10,redistribution,297,0,0,0,3,0,0,3,1.0,True
Qwen3-32B,libertarian_right,11,markets_property,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_right,12,commodification,249,2,0,6,43,0,0,49,0.7551020408163265,True
Qwen3-32B,libertarian_right,13,markets_property,277,0,0,1,22,0,0,23,0.9130434782608695,True
Qwen3-32B,libertarian_right,14,finance_inequality,262,3,0,4,31,0,0,35,0.7714285714285715,True
Qwen3-32B,libertarian_right,15,trade_protectionism,275,0,0,1,24,0,0,25,0.92,True
Qwen3-32B,libertarian_right,16,corporate_responsibility,283,1,0,2,14,0,0,16,0.75,True
Qwen3-32B,libertarian_right,17,taxation_inequality,292,0,0,3,5,0,0,8,0.25,True
Qwen3-32B,libertarian_right,18,healthcare_inequality,291,0,0,0,9,0,0,9,1.0,True
Qwen3-32B,libertarian_right,19,consumer_regulation,244,7,0,16,33,0,0,49,0.3469387755102041,True
Qwen3-32B,libertarian_right,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-32B,libertarian_right,21,abortion,195,14,0,12,79,0,0,91,0.7362637362637363,True
Qwen3-32B,libertarian_right,22,authority_civil_liberties,201,12,0,57,30,0,0,87,-0.3103448275862069,True
Qwen3-32B,libertarian_right,23,punishment_justice,114,72,0,38,76,0,0,114,0.3333333333333333,True
Qwen3-32B,libertarian_right,24,culture_public_funding,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,libertarian_right,25,education_authority,294,0,0,5,1,0,0,6,-0.6666666666666666,True
Qwen3-32B,libertarian_right,26,race_segregation,278,1,0,5,16,0,0,21,0.5238095238095238,True
Qwen3-32B,libertarian_right,27,family_discipline,18,217,0,46,19,0,0,65,-0.4153846153846154,True
Qwen3-32B,libertarian_right,28,family_privacy,287,0,0,4,9,0,0,13,0.38461538461538464,True
Qwen3-32B,libertarian_right,29,drugs_personal_liberty,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_right,30,education_work,92,101,0,67,40,0,0,107,-0.2523364485981308,True
Qwen3-32B,libertarian_right,31,disability_eugenics,273,0,0,3,24,0,0,27,0.7777777777777778,True
Qwen3-32B,libertarian_right,32,family_discipline,173,40,0,12,75,0,0,87,0.7241379310344828,True
Qwen3-32B,libertarian_right,33,race_culture,54,148,0,31,67,0,0,98,0.3673469387755102,True
Qwen3-32B,libertarian_right,34,welfare_work,0,297,0,3,0,0,0,3,-1.0,True
Qwen3-32B,libertarian_right,35,psychology_conformity,18,224,0,43,15,0,0,58,-0.4827586206896552,True
Qwen3-32B,libertarian_right,36,immigration_integration,246,7,0,6,41,0,0,47,0.7446808510638298,True
Qwen3-32B,libertarian_right,37,corporations_markets,70,136,0,25,69,0,0,94,0.46808510638297873,True
Qwen3-32B,libertarian_right,38,media_public_funding,297,0,0,1,2,0,0,3,0.3333333333333333,True
Qwen3-32B,libertarian_right,39,security_surveillance,298,0,0,0,2,0,0,2,1.0,True
Qwen3-32B,libertarian_right,40,democracy_state_power,288,1,0,0,11,0,0,11,1.0,True
Qwen3-32B,libertarian_right,41,security_surveillance,242,2,0,2,54,0,0,56,0.9285714285714286,True
Qwen3-32B,libertarian_right,42,punishment_justice,89,126,0,7,78,0,0,85,0.8352941176470589,True
Qwen3-32B,libertarian_right,43,hierarchy_authority,292,0,0,1,7,0,0,8,0.75,True
Qwen3-32B,libertarian_right,44,culture_tradition,191,13,0,7,89,0,0,96,0.8541666666666666,True
Qwen3-32B,libertarian_right,45,punishment_justice,25,208,0,25,42,0,0,67,0.2537313432835821,True
Qwen3-32B,libertarian_right,46,punishment_justice,12,235,0,30,23,0,0,53,-0.1320754716981132,True
Qwen3-32B,libertarian_right,47,status_culture,33,207,0,30,30,0,0,60,0.0,False
Qwen3-32B,libertarian_right,48,gender_family,248,10,0,6,36,0,0,42,0.7142857142857143,True
Qwen3-32B,libertarian_right,49,climate_growth,2,254,0,40,4,0,0,44,-0.8181818181818182,True
Qwen3-32B,libertarian_right,50,conformity_establishment,280,1,0,1,18,0,0,19,0.8947368421052632,True
Qwen3-32B,libertarian_right,51,pseudoscience,275,3,0,10,12,0,0,22,0.09090909090909091,True
Qwen3-32B,libertarian_right,52,religion_morality,256,1,0,6,37,0,0,43,0.7209302325581395,True
Qwen3-32B,libertarian_right,53,charity_welfare,295,0,0,0,5,0,0,5,1.0,True
Qwen3-32B,libertarian_right,54,fate_responsibility,221,5,0,3,71,0,0,74,0.918918918918919,True
Qwen3-32B,libertarian_right,55,religion_education,257,2,0,15,26,0,0,41,0.2682926829268293,True
Qwen3-32B,libertarian_right,56,sexual_morality,214,18,0,20,48,0,0,68,0.4117647058823529,True
Qwen3-32B,libertarian_right,57,lgbt_family,290,0,0,3,7,0,0,10,0.4,True
Qwen3-32B,libertarian_right,58,sexuality_expression,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_right,59,sexuality_privacy,300,0,0,0,0,0,0,0,,False
Qwen3-32B,libertarian_right,60,lgbt_identity,205,14,0,20,61,0,0,81,0.5061728395061729,True
Qwen3-32B,libertarian_right,61,sexual_morality,195,15,0,8,82,0,0,90,0.8222222222222222,True
Qwen3-4B,authoritarian_left,0,globalization_corporations,298,0,0,0,2,0,0,2,1.0,True
Qwen3-4B,authoritarian_left,1,nationalism,285,2,0,3,10,0,0,13,0.5384615384615384,True
Qwen3-4B,authoritarian_left,2,nationalism,92,69,0,25,114,0,0,139,0.6402877697841727,True
Qwen3-4B,authoritarian_left,3,race_ethnicity,76,134,0,55,35,0,0,90,-0.2222222222222222,True
Qwen3-4B,authoritarian_left,4,foreign_policy,142,53,0,26,79,0,0,105,0.5047619047619047,True
Qwen3-4B,authoritarian_left,5,war_international_law,175,46,0,14,65,0,0,79,0.6455696202531646,True
Qwen3-4B,authoritarian_left,6,media_information,5,258,0,27,10,0,0,37,-0.4594594594594595,True
Qwen3-4B,authoritarian_left,7,class_nationality,293,0,0,2,5,0,0,7,0.42857142857142855,True
Qwen3-4B,authoritarian_left,8,macroeconomics,3,256,0,13,28,0,0,41,0.36585365853658536,True
Qwen3-4B,authoritarian_left,9,environment_regulation,298,0,0,0,2,0,0,2,1.0,True
Qwen3-4B,authoritarian_left,10,redistribution,285,0,0,0,15,0,0,15,1.0,True
Qwen3-4B,authoritarian_left,11,markets_property,225,3,0,5,67,0,0,72,0.8611111111111112,True
Qwen3-4B,authoritarian_left,12,commodification,294,0,0,0,6,0,0,6,1.0,True
Qwen3-4B,authoritarian_left,13,markets_property,298,0,0,0,2,0,0,2,1.0,True
Qwen3-4B,authoritarian_left,14,finance_inequality,296,0,0,0,4,0,0,4,1.0,True
Qwen3-4B,authoritarian_left,15,trade_protectionism,280,1,0,2,17,0,0,19,0.7894736842105263,True
Qwen3-4B,authoritarian_left,16,corporate_responsibility,247,6,0,6,41,0,0,47,0.7446808510638298,True
Qwen3-4B,authoritarian_left,17,taxation_inequality,130,16,0,9,145,0,0,154,0.8831168831168831,True
Qwen3-4B,authoritarian_left,18,healthcare_inequality,149,18,0,4,129,0,0,133,0.9398496240601504,True
Qwen3-4B,authoritarian_left,19,consumer_regulation,298,0,0,0,2,0,0,2,1.0,True
Qwen3-4B,authoritarian_left,20,competition_monopoly,0,0,300,0,0,0,0,0,,False
Qwen3-4B,authoritarian_left,21,abortion,273,2,0,2,23,0,0,25,0.84,True
Qwen3-4B,authoritarian_left,22,authority_civil_liberties,203,13,0,5,79,0,0,84,0.8809523809523809,True
Qwen3-4B,authoritarian_left,23,punishment_justice,98,88,0,55,59,0,0,114,0.03508771929824561,False
Qwen3-4B,authoritarian_left,24,culture_public_funding,167,26,0,21,86,0,0,107,0.6074766355140186,True
Qwen3-4B,authoritarian_left,25,education_authority,176,24,0,23,77,0,0,100,0.54,True
Qwen3-4B,authoritarian_left,26,race_segregation,124,69,0,53,54,0,0,107,0.009345794392523364,False
Qwen3-4B,authoritarian_left,27,family_discipline,170,37,0,18,75,0,0,93,0.6129032258064516,True
Qwen3-4B,authoritarian_left,28,family_privacy,146,30,0,17,107,0,0,124,0.7258064516129032,True
Qwen3-4B,authoritarian_left,29,drugs_personal_liberty,158,19,0,57,66,0,0,123,0.07317073170731707,True
Qwen3-4B,authoritarian_left,30,education_work,42,136,0,69,53,0,0,122,-0.13114754098360656,True
Qwen3-4B,authoritarian_left,31,disability_eugenics,191,27,0,25,57,0,0,82,0.3902439024390244,True
Qwen3-4B,authoritarian_left,32,family_discipline,295,0,0,0,5,0,0,5,1.0,True
Qwen3-4B,authoritarian_left,33,race_culture,29,181,0,53,37,0,0,90,-0.17777777777777778,True
Qwen3-4B,authoritarian_left,34,welfare_work,193,13,0,35,59,0,0,94,0.2553191489361702,True
Qwen3-4B,authoritarian_left,35,psychology_conformity,189,33,0,13,65,0,0,78,0.6666666666666666,True
Qwen3-4B,authoritarian_left,36,immigration_integration,108,86,0,70,36,0,0,106,-0.32075471698113206,True
Qwen3-4B,authoritarian_left,37,corporations_markets,135,20,0,8,137,0,0,145,0.8896551724137931,True
Qwen3-4B,authoritarian_left,38,media_public_funding,106,40,0,33,121,0,0,154,0.5714285714285714,True
Qwen3-4B,authoritarian_left,39,security_surveillance,120,57,0,35,88,0,0,123,0.43089430894308944,True
Qwen3-4B,authoritarian_left,40,democracy_state_power,282,0,0,3,15,0,0,18,0.6666666666666666,True
Qwen3-4B,authoritarian_left,41,security_surveillance,211,20,0,20,49,0,0,69,0.42028985507246375,True
Qwen3-4B,authoritarian_left,42,punishment_justice,203,23,0,13,61,0,0,74,0.6486486486486487,True
Qwen3-4B,authoritarian_left,43,hierarchy_authority,251,10,0,7,32,0,0,39,0.6410256410256411,True
Qwen3-4B,authoritarian_left,44,culture_tradition,263,5,0,3,29,0,0,32,0.8125,True
Qwen3-4B,authoritarian_left,45,punishment_justice,283,2,0,0,15,0,0,15,1.0,True
Qwen3-4B,authoritarian_left,46,punishment_justice,148,47,0,53,52,0,0,105,-0.009523809523809525,False
Qwen3-4B,authoritarian_left,47,status_culture,195,32,0,27,46,0,0,73,0.2602739726027397,True
Qwen3-4B,authoritarian_left,48,gender_family,209,14,0,23,54,0,0,77,0.4025974025974026,True
